batch_id,timestamp,ligne,produit,temperature_c,pression_bar,ph,debit_l_min,energie_kwh,temps_cycle_min,rendement_pct,taux_rebut_pct,cout_batch_mad,emission_co2_kg,alarme,operateur,qualite_finale
PROC-00036,2026-05-28 12:15,Réacteur 2,Batch P1,66.06,2.62,7.15,128.22,208.34,81.5,91.38,3.04,3496.7,129.17,Pression,Equipe A,À contrôler
PROC-00037,2026-04-22 18:00,Réacteur 1,Batch P1,67.78,3.26,7.5,133.51,189.54,113.5,87.01,0.0,2873.51,117.51,Pression,Equipe B,Conforme
PROC-00038,2026-02-14 06:00,Réacteur 1,Batch P4,63.18,2.58,7.22,68.99,156.75,102.0,80.03,1.7,1486.19,97.18,Température,Equipe A,À contrôler
PROC-00039,2026-03-11 07:45,Réacteur 1,Batch P4,72.45,3.98,6.61,98.13,64.02,78.4,87.74,3.29,2582.39,39.69,Pression,Equipe B,À contrôler
PROC-00040,2026-02-08 13:15,Ligne C,Batch P3,79.46,2.73,6.89,146.08,249.14,100.4,81.65,2.67,2809.56,154.47,Aucune,Equipe C,À contrôler
PROC-00041,2026-02-16 11:00,Ligne B,Batch P3,68.69,3.84,6.55,91.22,66.01,105.6,78.92,3.99,2188.0,40.93,Aucune,Equipe C,Conforme
PROC-00042,2026-04-11 11:45,Ligne A,Batch P4,86.1,3.29,7.49,85.36,100.96,107.4,85.24,5.83,3478.24,62.59,Aucune,Equipe C,Conforme
PROC-00043,2026-06-13 14:30,Ligne B,Batch P1,65.85,3.83,6.46,136.38,117.35,81.5,83.22,2.83,1530.21,72.75,Pression,Equipe C,Conforme
PROC-00044,2026-02-10 06:15,Ligne B,Batch P2,70.56,4.23,7.46,94.93,183.12,96.4,94.91,1.32,3260.66,113.53,Aucune,Equipe A,Conforme
PROC-00045,2026-06-14 21:45,Ligne A,Batch P4,78.69,3.19,7.42,131.61,128.33,105.1,88.71,1.25,3268.52,79.57,Aucune,Equipe A,Conforme
PROC-00046,2026-01-22 13:30,Ligne B,Batch P2,69.11,2.36,6.84,104.21,207.54,119.0,90.02,2.92,1666.51,128.67,Aucune,Equipe B,Conforme
PROC-00047,2026-01-08 21:30,Ligne A,Batch P3,75.27,3.46,6.21,142.43,92.35,123.0,85.49,7.32,2436.71,57.25,Débit,Equipe A,Conforme
PROC-00048,2026-05-26 19:30,Ligne A,Batch P1,72.49,2.54,6.7,115.22,94.81,91.6,87.28,8.08,1691.43,58.78,Aucune,Equipe C,Non conforme
PROC-00049,2026-01-08 10:30,Ligne A,Batch P1,63.91,2.85,6.91,100.84,115.33,87.4,78.78,4.71,1805.94,71.5,Aucune,Equipe A,Conforme
PROC-00050,2026-03-21 09:45,Ligne C,Batch P3,80.1,3.17,7.21,113.97,228.05,78.6,87.48,0.0,2496.34,141.39,Pression,Equipe B,Conforme
PROC-00051,2026-04-23 14:15,Ligne C,Batch P2,65.7,3.36,6.95,117.96,89.72,103.5,95.62,3.41,1634.4,55.62,Aucune,Equipe A,Conforme
PROC-00052,2026-06-27 13:15,Ligne C,Batch P1,77.12,3.7,7.06,98.14,276.73,114.8,87.25,7.13,3138.71,171.57,Température,Equipe B,Conforme
PROC-00053,2026-02-12 08:15,Ligne C,Batch P4,59.87,2.41,6.84,58.74,56.67,56.5,77.68,1.26,1985.4,35.14,pH,Equipe A,Conforme
PROC-00054,2026-04-11 09:30,Réacteur 2,Batch P1,64.21,2.34,7.33,110.69,231.45,93.3,81.2,2.88,3341.52,143.5,Aucune,Equipe B,Conforme
PROC-00055,2026-05-29 19:00,Réacteur 1,Batch P2,84.45,2.78,6.79,143.63,184.22,98.7,80.42,4.87,1741.24,114.22,Température,Equipe A,Conforme
PROC-00056,2026-04-12 21:15,Réacteur 2,Batch P3,,3.21,6.9,130.76,88.72,93.0,77.92,2.77,3199.56,55.01,Aucune,Equipe C,Conforme
PROC-00057,2026-02-14 17:45,Ligne C,Batch P4,70.05,3.08,7.75,117.21,143.64,102.9,83.01,9.2,1231.27,89.06,Aucune,Equipe B,Conforme
PROC-00058,2026-02-18 11:30,Ligne C,Batch P2,61.01,3.09,7.36,120.8,342.64,124.0,89.76,4.15,2179.27,212.44,Aucune,Equipe A,Conforme
PROC-00059,2026-01-26 16:30,Ligne A,Batch P4,67.54,4.93,7.26,119.61,111.86,98.5,93.81,7.29,1663.47,69.35,Aucune,Equipe A,Conforme
PROC-00060,2026-01-03 21:45,Ligne B,Batch P4,70.92,4.38,6.23,124.63,134.39,113.5,84.12,4.51,1892.67,83.32,Aucune,Equipe C,Conforme
PROC-00061,2026-01-24 12:45,Réacteur 2,Batch P3,67.4,2.63,7.22,145.56,122.73,83.0,87.57,0.74,2053.49,76.09,pH,Equipe B,Conforme
PROC-00062,2026-03-03 10:45,Réacteur 2,Batch P2,80.32,2.87,8.37,123.88,71.63,64.0,78.3,5.12,3082.01,44.41,Aucune,Equipe C,Conforme
PROC-00063,2026-04-23 19:00,Ligne A,Batch P4,73.9,3.02,5.92,109.5,226.32,118.5,77.25,3.14,1490.47,140.32,Aucune,Equipe B,À contrôler
PROC-00064,2026-04-28 11:45,Réacteur 1,Batch P2,64.31,1.99,7.87,94.47,294.36,106.1,83.87,3.84,1942.52,182.5,Aucune,Equipe A,Conforme
PROC-00065,2026-05-20 11:30,Réacteur 1,Batch P4,,4.53,,70.12,188.43,98.9,84.66,2.4,1198.22,116.82,Aucune,Equipe B,Conforme
PROC-00066,2026-06-28 12:30,Ligne A,Batch P2,72.28,3.29,7.21,104.09,236.61,123.6,,7.57,1199.12,146.7,Aucune,Equipe C,Conforme
PROC-00067,2026-02-04 22:45,Réacteur 1,Batch P4,82.95,3.27,7.52,123.59,142.31,87.0,94.8,3.0,3053.9,88.23,Température,Equipe C,Conforme
PROC-00068,2026-06-21 16:15,Réacteur 2,Batch P1,75.52,2.98,7.76,126.18,135.28,124.5,90.54,2.62,2763.71,83.87,Aucune,Equipe C,Conforme
PROC-00069,2026-02-07 14:45,Ligne C,Batch P1,85.66,2.94,6.96,107.82,129.17,79.9,80.86,5.12,2531.54,80.09,Aucune,Equipe A,Conforme
PROC-00070,2026-06-23 20:45,Réacteur 2,Batch P4,71.58,3.49,7.71,102.22,41.07,86.5,86.05,5.24,890.52,25.46,Aucune,Equipe C,Conforme
PROC-00071,2026-01-20 15:00,Ligne C,Batch P3,62.21,2.63,7.56,114.02,56.31,67.0,82.8,4.37,3005.6,34.91,Aucune,Equipe C,Conforme
PROC-00072,2026-02-05 19:15,Ligne C,Batch P4,68.04,2.92,7.19,122.33,114.46,131.2,95.6,0.0,1999.54,70.96,Aucune,Equipe B,Conforme
PROC-00073,2026-06-06 06:30,Ligne C,Batch P1,66.35,2.25,7.46,141.77,159.0,118.1,88.07,2.35,3488.22,98.58,pH,Equipe C,Conforme
PROC-00074,2026-02-11 20:00,Ligne A,Batch P2,67.73,2.14,7.07,92.14,29.6,104.4,90.98,3.68,2726.99,18.35,Pression,Equipe B,Conforme
PROC-00075,2026-05-02 15:00,Réacteur 1,Batch P3,54.7,2.5,7.44,96.12,134.44,67.2,83.06,6.42,3026.53,83.36,Aucune,Equipe C,Conforme
PROC-00076,2026-01-29 09:45,Ligne C,Batch P4,76.82,2.92,,112.11,122.51,80.6,77.73,0.0,2484.88,75.96,Aucune,Equipe A,À contrôler
PROC-00077,2026-03-23 14:00,Ligne C,Batch P2,69.06,3.6,7.62,113.28,123.59,77.2,92.34,4.53,2428.63,76.63,Aucune,Equipe B,Conforme
PROC-00078,2026-03-01 07:15,Ligne B,Batch P1,70.78,2.96,7.21,135.62,146.72,71.8,92.19,3.58,3067.43,90.96,Aucune,Equipe A,Conforme
PROC-00079,2026-03-09 21:30,Ligne C,Batch P3,72.29,2.47,7.12,93.89,80.91,90.3,94.95,1.26,2265.17,50.16,Aucune,Equipe A,Conforme
PROC-00080,2026-02-08 14:15,Ligne C,Batch P4,67.64,2.88,6.71,98.68,90.71,103.2,81.85,3.15,2879.16,56.24,Aucune,Equipe A,Non conforme
PROC-00081,2026-01-10 08:30,Ligne B,Batch P4,80.35,3.52,6.71,102.13,75.29,82.0,83.92,5.02,1760.91,46.68,Aucune,Equipe A,Conforme
PROC-00082,2026-03-26 13:15,Réacteur 1,Batch P1,77.15,4.25,7.62,104.54,66.99,65.6,84.44,7.32,1733.43,41.53,Aucune,Equipe C,Conforme
PROC-00083,2026-06-14 06:45,Réacteur 1,Batch P4,62.46,3.64,6.6,155.34,181.63,61.9,87.47,3.48,2630.61,112.61,Aucune,Equipe C,Conforme
PROC-00084,2026-06-25 06:15,Ligne B,Batch P3,79.7,4.01,7.66,101.51,245.68,89.9,83.78,7.79,2179.9,152.32,Aucune,Equipe C,À contrôler
PROC-00085,2026-05-10 14:00,Ligne C,Batch P2,66.09,3.88,6.87,125.21,192.74,99.3,87.58,4.06,1255.95,119.5,Température,Equipe B,Conforme
PROC-00086,2026-04-20 15:15,Réacteur 1,Batch P4,66.71,3.35,7.32,116.33,154.08,115.6,99.0,2.69,3510.79,95.53,Aucune,Equipe A,Conforme
PROC-00087,2026-06-13 11:00,Ligne A,Batch P3,72.32,3.76,7.32,176.1,203.64,91.7,83.51,2.3,2315.49,126.26,Aucune,Equipe C,Conforme
PROC-00088,2026-01-31 07:30,Réacteur 2,Batch P4,84.45,3.15,7.19,92.58,153.2,98.7,89.09,7.7,1720.56,94.99,Aucune,Equipe A,Conforme
PROC-00089,2026-05-01 11:00,Ligne B,Batch P2,81.21,3.1,7.13,95.27,185.75,78.5,81.49,2.23,3455.31,115.17,pH,Equipe A,Conforme
PROC-00090,2026-03-05 08:45,Réacteur 1,Batch P1,74.4,2.69,6.71,97.64,118.07,83.6,92.82,4.46,3169.32,73.21,Aucune,Equipe A,Conforme
PROC-00091,2026-04-16 17:15,Ligne B,Batch P2,71.32,4.16,7.38,114.88,123.64,106.6,86.16,8.92,2847.46,76.65,Température,Equipe C,À contrôler
PROC-00092,2026-06-29 12:30,Réacteur 1,Batch P4,75.66,2.55,6.49,90.59,375.99,99.1,92.24,9.31,2074.21,233.11,Aucune,Equipe B,Conforme
PROC-00093,2026-03-17 21:15,Ligne A,Batch P4,79.68,3.09,6.95,121.95,157.81,89.2,83.94,2.98,1712.07,97.84,Aucune,Equipe A,Conforme
PROC-00094,2026-05-06 18:45,Ligne C,Batch P3,63.8,3.76,7.39,101.07,138.46,97.3,96.13,2.84,3647.98,85.84,Aucune,Equipe B,Conforme
PROC-00095,2026-03-19 17:30,Ligne A,Batch P4,68.21,4.07,7.72,109.25,307.21,80.8,89.63,1.3,2281.35,190.47,Aucune,Equipe B,Conforme
PROC-00096,2026-03-05 08:30,Ligne A,Batch P1,71.95,3.4,7.2,,97.88,78.4,86.54,3.91,2236.95,60.68,Aucune,Equipe B,Conforme
PROC-00097,2026-05-11 10:30,Réacteur 2,Batch P3,77.44,3.27,7.6,75.24,157.92,92.2,77.92,,1281.09,97.91,Aucune,Equipe C,Conforme
PROC-00098,2026-05-18 16:15,Ligne C,Batch P1,75.82,2.55,6.6,122.64,114.28,84.3,84.1,2.49,1684.19,70.86,Aucune,Equipe A,Conforme
PROC-00099,2026-05-07 14:15,Réacteur 1,Batch P1,74.08,3.02,7.25,96.91,270.86,80.0,94.53,2.27,3789.11,167.93,Aucune,Equipe A,Conforme
PROC-00100,2026-01-27 09:45,Ligne C,Batch P2,78.4,1.65,6.89,113.32,234.68,99.0,90.62,1.82,2610.2,145.5,Aucune,Equipe A,Conforme
PROC-00101,2026-01-13 16:45,Ligne A,Batch P2,73.16,3.28,6.59,115.7,172.08,96.2,82.53,4.83,2366.8,106.69,Aucune,Equipe A,Conforme
PROC-00102,2026-01-07 10:00,Réacteur 2,Batch P4,68.55,3.33,7.25,99.82,117.51,101.1,95.6,7.27,2722.65,72.85,Température,Equipe A,Conforme
PROC-00103,2026-02-28 10:00,Réacteur 1,Batch P2,76.09,1.98,6.8,118.31,161.14,102.7,89.54,8.17,3330.85,99.91,Aucune,Equipe B,Conforme
PROC-00104,2026-01-06 19:45,Réacteur 1,Batch P3,78.23,3.84,6.57,125.09,97.49,,85.29,1.63,3197.98,60.44,Aucune,Equipe C,Conforme
PROC-00105,2026-03-11 21:00,Ligne C,Batch P1,81.39,2.23,6.18,96.61,106.65,79.8,85.77,6.19,3056.67,66.12,Aucune,Equipe B,Conforme
PROC-00106,2026-03-04 19:30,Réacteur 1,Batch P1,71.29,3.56,7.04,155.27,230.83,79.3,89.57,,3087.12,143.11,Aucune,Equipe B,Conforme
PROC-00107,2026-02-21 15:15,Ligne C,Batch P3,61.66,2.83,7.54,112.05,50.69,108.1,83.44,5.43,3018.61,31.43,Aucune,Equipe B,Conforme
PROC-00108,2026-01-10 21:00,Réacteur 1,Batch P3,61.6,3.6,7.03,105.65,117.16,109.9,89.34,5.05,1203.04,72.64,Aucune,Equipe C,Conforme
PROC-00109,2026-02-24 10:00,Ligne A,Batch P4,75.89,3.42,7.01,108.61,252.01,81.9,85.78,6.49,2895.33,156.25,Aucune,Equipe C,Conforme
PROC-00110,2026-01-14 20:15,Réacteur 1,Batch P1,72.8,3.03,8.39,59.45,108.03,73.4,84.86,6.94,1843.07,66.98,Aucune,Equipe A,Conforme
PROC-00111,2026-01-19 09:15,Réacteur 2,Batch P4,69.97,3.28,7.04,105.06,113.24,108.5,86.45,3.86,1373.44,70.21,Aucune,Equipe C,Conforme
PROC-00112,2026-04-09 21:15,Ligne C,Batch P1,70.24,2.98,6.91,130.91,326.58,62.8,88.41,3.05,2394.51,202.48,Aucune,Equipe A,À contrôler
PROC-00113,2026-02-24 09:15,Réacteur 1,Batch P1,65.49,3.46,6.82,77.99,210.25,102.2,86.07,1.05,3181.53,130.35,Aucune,Equipe A,À contrôler
PROC-00114,2026-05-31 06:45,Réacteur 2,Batch P4,73.17,3.22,6.78,85.34,169.02,59.5,82.82,2.5,1209.66,104.79,Aucune,Equipe B,Conforme
PROC-00115,2026-06-12 11:15,Ligne B,Batch P3,71.45,3.45,6.57,86.52,22.81,93.3,85.93,2.42,1405.3,14.14,Aucune,Equipe A,Conforme
PROC-00116,2026-03-12 16:15,Ligne A,Batch P1,83.77,3.52,6.44,119.59,147.79,64.3,79.08,4.1,1821.59,91.63,pH,Equipe C,Conforme
PROC-00117,2026-02-18 11:15,Ligne A,Batch P1,75.24,3.76,7.78,99.42,121.19,83.8,89.36,0.0,3659.49,75.14,Aucune,Equipe B,Conforme
PROC-00118,2026-02-06 10:00,Ligne A,Batch P2,68.98,3.33,6.8,132.52,164.3,63.7,86.49,0.86,1089.19,101.87,Pression,Equipe B,À contrôler
PROC-00119,2026-01-11 09:45,Réacteur 1,Batch P4,80.44,3.7,7.0,126.65,153.07,78.1,83.98,3.29,3023.93,94.91,Débit,Equipe C,À contrôler
PROC-00120,2026-01-06 21:15,Ligne C,Batch P3,80.02,2.93,6.72,74.35,240.71,84.0,80.93,2.97,1212.48,149.24,Aucune,Equipe C,Conforme
PROC-00121,2026-01-30 20:45,Ligne C,Batch P3,61.13,3.38,7.29,128.58,54.11,79.3,92.04,1.85,3020.98,33.55,Aucune,Equipe C,Conforme
PROC-00122,2026-03-30 07:45,Ligne C,Batch P3,68.63,2.58,7.0,162.24,71.94,99.8,95.15,0.9,1947.29,44.61,Aucune,Equipe C,Conforme
PROC-00123,2026-03-24 09:15,Ligne B,Batch P2,70.45,3.82,7.64,128.14,87.12,91.5,73.94,2.87,3041.6,54.02,pH,Equipe A,Conforme
PROC-00124,2026-06-15 14:00,Ligne C,Batch P1,84.15,3.97,6.35,96.3,129.25,86.8,76.91,1.42,2006.52,80.14,Aucune,Equipe A,À contrôler
PROC-00125,2026-05-15 17:45,Ligne A,Batch P2,63.52,2.81,6.33,125.01,153.71,102.9,88.28,4.72,2029.56,95.3,Aucune,Equipe A,Conforme
PROC-00126,2026-02-10 13:15,Réacteur 2,Batch P2,74.51,2.76,6.6,137.18,227.91,91.7,93.49,4.54,1947.84,141.31,pH,Equipe A,Conforme
PROC-00127,2026-06-16 06:15,Ligne A,Batch P1,73.52,3.44,7.79,119.99,80.43,53.8,84.78,4.03,1847.3,49.87,Aucune,Equipe C,À contrôler
PROC-00128,2026-04-28 21:30,Ligne C,Batch P4,80.17,3.65,6.24,138.9,138.55,68.5,84.43,3.56,2375.1,85.9,Aucune,Equipe C,Conforme
PROC-00129,2026-05-24 16:00,Réacteur 2,Batch P3,75.65,4.43,6.49,110.78,90.87,80.4,84.76,0.45,2693.49,56.34,Aucune,Equipe C,À contrôler
PROC-00130,2026-04-19 11:30,Ligne A,Batch P1,78.77,3.08,6.36,107.29,162.75,,85.95,3.88,3315.27,100.91,Aucune,Equipe B,Conforme
PROC-00131,2026-02-06 10:45,Ligne B,Batch P4,72.37,3.82,7.52,138.6,113.89,118.1,78.97,4.55,3255.41,70.61,Aucune,Equipe B,Conforme
PROC-00132,2026-03-17 13:00,Réacteur 1,Batch P2,78.07,2.69,7.56,129.87,183.37,120.9,79.13,4.53,1298.48,113.69,Aucune,Equipe C,Conforme
PROC-00133,2026-05-13 14:15,Réacteur 2,Batch P2,67.08,2.63,7.31,91.8,185.86,110.7,79.16,7.11,3639.66,115.23,Aucune,Equipe A,Conforme
PROC-00134,2026-02-12 19:15,Ligne B,Batch P2,84.73,4.17,6.65,114.4,238.72,99.4,84.78,4.13,1187.11,148.01,Aucune,Equipe A,Conforme
PROC-00135,2026-01-07 13:00,Réacteur 2,Batch P1,83.15,3.61,7.09,114.25,289.58,85.9,86.62,0.91,1380.02,179.54,Aucune,Equipe B,Conforme
PROC-00136,2026-05-30 17:15,Réacteur 2,Batch P2,57.37,4.42,8.43,129.6,159.0,85.9,81.35,1.33,1148.48,98.58,Aucune,Equipe C,Conforme
PROC-00137,2026-05-20 21:00,Réacteur 2,Batch P2,76.48,3.07,7.68,141.91,86.07,126.9,97.04,7.19,2953.14,53.36,pH,Equipe C,Conforme
PROC-00138,2026-04-02 22:00,Ligne C,Batch P3,73.78,2.9,7.74,107.25,266.29,88.3,95.05,1.91,3228.15,165.1,Aucune,Equipe A,Conforme
PROC-00139,2026-01-11 14:15,Ligne B,Batch P3,71.49,2.83,6.99,115.57,107.42,120.4,91.59,3.41,1168.04,66.6,Aucune,Equipe B,Conforme
PROC-00140,2026-03-08 16:30,Ligne C,Batch P1,,5.33,7.94,86.98,209.94,96.0,84.39,5.71,1815.76,130.16,Aucune,Equipe B,À contrôler
PROC-00141,2026-04-09 18:30,Ligne B,Batch P2,72.4,4.05,6.52,101.01,167.7,66.9,92.55,9.98,1678.03,103.97,Aucune,Equipe A,Conforme
PROC-00142,2026-06-13 14:15,Ligne B,Batch P3,78.1,4.47,6.73,86.18,85.36,96.6,89.73,0.57,1281.37,52.92,Aucune,Equipe A,Conforme
PROC-00143,2026-03-26 16:00,Ligne A,Batch P2,67.09,3.27,7.33,124.76,171.97,91.1,73.8,5.85,1664.81,106.62,Aucune,Equipe C,Conforme
PROC-00144,2026-03-13 09:15,Réacteur 1,Batch P1,55.62,2.91,6.38,84.65,90.36,133.7,90.12,5.43,3550.36,56.02,Aucune,Equipe B,Conforme
PROC-00145,2026-04-06 14:30,Réacteur 2,Batch P1,82.76,3.6,6.05,87.35,48.81,115.3,83.83,3.84,2595.99,30.26,Aucune,Equipe B,À contrôler
PROC-00146,2026-06-27 20:00,Réacteur 2,Batch P3,79.06,3.37,6.78,83.24,67.97,105.8,99.0,5.71,2643.09,42.14,Aucune,Equipe A,Conforme
PROC-00147,2026-05-13 08:00,Réacteur 2,Batch P2,69.77,2.4,7.64,73.75,,99.3,93.58,1.9,1525.72,86.03,Aucune,Equipe A,Conforme
PROC-00148,2026-01-18 20:00,Réacteur 1,Batch P1,68.39,3.88,7.52,80.59,150.81,108.7,87.1,4.37,1313.83,93.5,Aucune,Equipe A,Conforme
PROC-00149,2026-03-30 07:00,Ligne A,Batch P1,74.63,2.44,7.66,119.33,66.62,85.6,97.22,4.25,1947.7,41.3,Aucune,Equipe B,Conforme
PROC-00150,2026-02-14 07:15,Ligne B,Batch P2,68.14,4.79,6.9,110.93,108.7,103.3,92.76,9.02,2415.24,67.39,Aucune,Equipe C,Conforme
PROC-00151,2026-01-03 20:15,Ligne A,Batch P1,79.41,3.8,6.94,118.81,132.93,91.8,87.73,4.82,2270.06,82.42,Aucune,Equipe C,Conforme
PROC-00152,2026-02-16 16:45,Ligne C,Batch P3,72.07,2.91,7.26,96.68,90.26,85.4,93.93,3.02,3438.73,55.96,Aucune,Equipe C,Conforme
PROC-00153,2026-04-02 19:45,Ligne B,Batch P1,,2.17,7.16,103.77,261.68,94.3,93.86,6.95,3082.98,162.24,Débit,Equipe B,Conforme
PROC-00154,2026-02-26 13:00,Ligne A,Batch P3,87.25,4.38,7.45,108.63,232.29,98.8,85.95,5.84,1982.11,144.02,Température,Equipe B,Conforme
PROC-00155,2026-03-30 17:30,Réacteur 1,Batch P4,66.56,5.05,7.01,95.04,221.76,133.5,88.38,7.77,2138.66,137.49,Pression,Equipe B,Conforme
PROC-00156,2026-05-03 14:45,Réacteur 2,Batch P2,68.82,3.22,6.73,121.87,244.7,98.8,88.39,1.32,3028.13,151.71,Aucune,Equipe C,Conforme
PROC-00157,2026-02-25 06:45,Réacteur 2,Batch P3,66.17,4.71,6.81,126.04,142.9,64.2,75.9,1.63,1946.57,88.6,Pression,Equipe C,Conforme
